THICKNESS (CM),BASE BOUNDARY,LITHOLOGY,LITHOLOGY %,LITHOLOGY2,LITHOLOGY2 %,LITHOLOGY3,LITHOLOGY3 %,GRAIN SIZE BASE,PHI VALUES BASE,GRAIN SIZE TOP,PHI VALUES TOP,SYMBOLS IN BED,SYMBOLS/STRUCTURES,NOTES COLUMN,BIOTURBATION TYPE,INTENSITY,PALAEOCURRENT VALUES,FACIES,OTHER1 TEXT,OTHER1 SYMBOL,OTHER2 TEXT,OTHER2 SYMBOL,OTHER3 TEXT,OTHER3 SYMBOL
1.2,<none>,Volcaniclastic,100,<none>,0,<none>,0,m/c,1.0,m/c,1.0,<none>,"","",<none>,0,"",0,"","","","","",""
4.0,Sharp,Volcaniclastic,100,<none>,0,<none>,0,c,0.5,c,0.5,<none>,"","Calcareous",<none>,0,"",0,"","","","","",""
31.0,Erosion,Volcaniclastic,100,<none>,0,<none>,0,c,0.5,c,0.5,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
7.8,Sharp,Fine ash,100,<none>,0,<none>,0,clay,10.0,clay,10.0,<none>,"","",<none>,0,"",0,"","","","","",""
2.7,Sharp,Volcaniclastic,100,<none>,0,<none>,0,m,1.5,m,1.5,<none>,"","",<none>,0,"",0,"","","","","",""
10.0,Sharp,Fine ash,100,<none>,0,<none>,0,clay,10.0,clay,10.0,<none>,"","",<none>,0,"",0,"","","","","",""
12.0,Sharp,Volcaniclastic,100,<none>,0,<none>,0,m,1.5,m,1.5,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
13.0,Sharp,Volcaniclastic,100,<none>,0,<none>,0,clay,10.0,clay,10.0,<none>,"","",<none>,0,"",0,"","","","","",""
4.3,Sharp,Volcaniclastic,100,<none>,0,<none>,0,f,2.5,f,2.5,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
3.5,Sharp,Fine ash,100,<none>,0,<none>,0,clay,10.0,clay,10.0,<none>,"","",<none>,0,"",0,"","","","","",""
11.8,Erosion,Volcaniclastic,100,<none>,0,<none>,0,m,1.5,m,1.5,<none>,"Current ripple cross-lamination,Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
8.0,Erosion,Volcaniclastic,100,<none>,0,<none>,0,m/c,1.0,m,1.5,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
17.0,Erosion,Volcaniclastic,100,<none>,0,<none>,0,c,0.5,m/c,1.0,<none>,"","Variable thickness, cuts into bed below by upto 8 cm",<none>,0,"",0,"","","","","",""
3.9,Sharp,Claystone,100,<none>,0,<none>,0,clay,10.0,clay,10.0,<none>,"","",<none>,0,"",0,"","","","","",""
4.344,Sharp,Volcaniclastic,100,<none>,0,<none>,0,f/m,2.0,f/m,2.0,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
12.5,Erosion,Volcaniclastic,100,<none>,0,<none>,0,m,1.5,f/m,2.0,<none>,"Horizontal planar lamination","",<none>,0,"",0,"","","","","",""
7.5,Erosion,Volcaniclastic,100,<none>,0,<none>,0,f,2.5,f,2.5,<none>,"Convolute lamination","",<none>,0,"",0,"","","","","",""
7.0,Sharp,Volcaniclastic,100,<none>,0,<none>,0,f/m,2.0,f/m,2.0,<none>,"","",<none>,0,"",0,"","","","","",""
